Napa Valley|Inspector|2
South San Francisco|Inspector|4
Richmond|Inspector|1
Burlingame|Inspector|5
Emeryville|Inspector|4
Benicia|Inspector|1
Novato|Inspector|6
Petaluma|Inspector|1
San Rafael|Inspector|7
Alameda|Inspector|2
Pleasant Hill|Inspector|3
San Ramon|Inspector|3
Sonoma|Inspector|2
Daly City|Inspector|1
San Francisco Bay Area|Courier/Delivery|1
San Francisco|Shipping|785
San Rafael|Shipping|152
Richmond|Shipping|39
Hercules|Shipping|4
San Leandro|Shipping|52
Oakland|Shipping|82
Emeryville|Shipping|25
Sonoma|Shipping|4
Alameda|Shipping|25
Martinez|Shipping|6
Sausalito|Shipping|2
San Francisco Bay Area|Shipping|21
Benicia|Shipping|9
Novato|Shipping|15
American Canyon|Shipping|7
Berkeley|Shipping|37
Point Reyes Station|Shipping|2
Concord|Shipping|22
Petaluma|Shipping|18
Hayward|Shipping|3
Walnut Creek|Shipping|16
Pleasant Hill|Shipping|8
Pinole|Shipping|7
Castro Valley|Shipping|3
Colma|Shipping|8
Orinda|Shipping|2
Daly City|Shipping|7
South San Francisco|Shipping|34
El Cerrito|Shipping|5
Brisbane|Shipping|9
Pacheco|Shipping|1
San Ramon|Shipping|6
Larkspur|Shipping|3
Burlingame|Shipping|2
San Anselmo|Shipping|2
San Bruno|Shipping|9
Greenbrae|Shipping|4
Corte Madera|Shipping|118
Point Richmond|Shipping|1
Danville|Shipping|2
Vallejo|Shipping|5
Lafayette|Shipping|1
Albany|Shipping|2
Napa|Shipping|2
Fairfax|Shipping|1
Mill Valley|Shipping|1
Millbrae|Shipping|2
Pacifica|Shipping|2
Clayton|Shipping|1
Moraga|Shipping|1
San Lorenzo|Shipping|1
Kentfield|Shipping|1
Oakland|Custodian|19
Berkeley|Custodian|9
Walnut Creek|Custodian|3
San Francisco|Custodian|47
Novato|Custodian|1
Hercules|Custodian|5
Concord|Custodian|5
Mill Valley|Custodian|7
East Bay|Custodian|3
Richmond|Custodian|1
El Cerrito|Custodian|3
Vallejo|Custodian|7
Castro Valley|Custodian|7
Danville|Custodian|4
San Rafael|Custodian|1
Petaluma|Custodian|1
San Leandro|Custodian|2
Orinda|Custodian|2
San Lorenzo|Custodian|3
Sonoma|Custodian|3
Sausalito|Custodian|1
Emeryville|Packer|3
San Francisco|Packer|24
Oakland|Packer|1
San Pablo|Packer|1
Richmond|Packer|2
Martinez|Packer|5
Walnut Creek|Packer|1
Berkeley|Packer|4
Petaluma|Packer|2
San Ramon|Packer|7
South San Francisco|Packer|1
San Francisco Bay Area|Packer|3
Sonoma|Packer|1
Richmond|Construction|37
Oakland|Construction|160
Berkeley|Construction|40
San Anselmo|Construction|1
Greenbrae|Construction|1
San Rafael|Construction|20
Walnut Creek|Construction|359
San Francisco Bay Area|Construction|382
Martinez|Construction|22
Novato|Construction|8
South San Francisco|Construction|272
Hayward|Construction|3
San Francisco|Construction|1017
Benicia|Construction|19
Tiburon|Construction|3
Mill Valley|Construction|2
Sausalito|Construction|2
Hercules|Construction|10
Orinda|Construction|1
East Bay|Construction|9
Burlingame|Construction|3
Alameda|Construction|18
Daly City|Construction|6
Petaluma|Construction|9
Concord|Construction|40
Millbrae|Construction|1
Pacifica|Construction|1
Emeryville|Construction|13
San Ramon|Construction|23
San Leandro|Construction|29
El Sobrante|Construction|3
Vallejo|Construction|8
Pleasant Hill|Construction|5
Napa|Construction|1
Castro Valley|Construction|7
San Pablo|Construction|4
Danville|Construction|4
Fairfax|Construction|3
Lafayette|Construction|6
Fairfield|Construction|4
Woodacre|Construction|1
Napa Valley|Construction|3
American Canyon|Construction|3
Pacheco|Construction|4
Mare Island|Construction|2
Crockett|Construction|2
Pinole|Construction|2
Colma|Construction|2
Brisbane|Construction|2
San Bruno|Construction|1
San Lorenzo|Construction|1
Hayward|Installer|8
Albany|Installer|1
Richmond|Installer|9
San Leandro|Installer|10
Emeryville|Installer|4
Berkeley|Installer|9
Oakland|Installer|26
Benicia|Installer|7
San Bruno|Installer|4
Alameda|Installer|1
Daly City|Installer|1
Orinda|Installer|1
Walnut Creek|Installer|4
San Francisco|Installer|80
Petaluma|Installer|6
Martinez|Installer|3
Fairfield|Installer|2
El Cerrito|Installer|1
Danville|Installer|1
El Sobrante|Installer|1
East Bay|Installer|5
San Rafael|Installer|22
Brisbane|Installer|4
Pacifica|Installer|1
Millbrae|Installer|1
San Francisco Bay Area|Installer|13
South San Francisco|Installer|5
Castro Valley|Installer|1
Pinole|Installer|1
Concord|Installer|11
Vallejo|Installer|3
Novato|Installer|3
San Anselmo|Installer|1
Pacheco|Installer|1
Lafayette|Installer|3
San Ramon|Installer|1
East Bay|Bus Driver|2
Richmond|Bus Driver|3
Oakland|Bus Driver|13
Martinez|Bus Driver|1
San Francisco|Bus Driver|46
Concord|Bus Driver|4
Pinole|Bus Driver|2
Alameda|Bus Driver|2
Walnut Creek|Bus Driver|6
Vallejo|Bus Driver|9
San Rafael|Bus Driver|4
Novato|Bus Driver|2
San Bruno|Bus Driver|1
San Francisco Bay Area|Bus Driver|3
Castro Valley|Bus Driver|2
Brisbane|Bus Driver|5
Hercules|Bus Driver|1
San Leandro|Bus Driver|3
Napa|Bus Driver|1
South San Francisco|Bus Driver|1
Millbrae|Bus Driver|1
Mill Valley|Bus Driver|1
Daly City|Bus Driver|1
Castro Valley|Child Care|7
Richmond|Child Care|12
Albany|Child Care|5
Oakland|Child Care|146
Emeryville|Child Care|11
San Pablo|Child Care|2
San Leandro|Child Care|23
Moraga|Child Care|1
Walnut Creek|Child Care|41
Concord|Child Care|18
Berkeley|Child Care|46
San Francisco|Child Care|280
San Francisco Bay Area|Child Care|13
Lafayette|Child Care|2
Martinez|Child Care|7
Petaluma|Child Care|16
San Rafael|Child Care|20
Millbrae|Child Care|5
Pacifica|Child Care|9
Larkspur|Child Care|5
Vallejo|Child Care|18
Alameda|Child Care|10
Alamo|Child Care|1
Clayton|Child Care|1
Benicia|Child Care|4
Pinole|Child Care|3
Pleasant Hill|Child Care|13
San Ramon|Child Care|12
Daly City|Child Care|9
Sausalito|Child Care|2
Mill Valley|Child Care|4
Fairfax|Child Care|3
South San Francisco|Child Care|11
Danville|Child Care|11
San Lorenzo|Child Care|6
Point Reyes Station|Child Care|1
Sonoma|Child Care|1
East Bay|Child Care|4
San Bruno|Child Care|7
El Sobrante|Child Care|2
Hayward|Child Care|5
Novato|Child Care|17
Orinda|Child Care|1
Corte Madera|Child Care|1
Greenbrae|Child Care|2
Piedmont|Child Care|1
Pinole|Food Service|10
El Cerrito|Food Service|13
Albany|Food Service|7
Hercules|Food Service|5
Alameda|Food Service|21
Pleasant Hill|Food Service|596
Berkeley|Food Service|66
Oakland|Food Service|688
San Pablo|Food Service|13
Martinez|Food Service|11
Mill Valley|Food Service|9
San Rafael|Food Service|43
San Francisco|Food Service|1476
San Francisco Bay Area|Food Service|11
Emeryville|Food Service|23
Walnut Creek|Food Service|55
Concord|Food Service|38
Richmond|Food Service|29
Lafayette|Food Service|9
East Bay|Food Service|5
Castro Valley|Food Service|17
Sausalito|Food Service|4
San Leandro|Food Service|24
Novato|Food Service|13
Vallejo|Food Service|20
Petaluma|Food Service|15
Napa|Food Service|2
South San Francisco|Food Service|14
Danville|Food Service|9
San Ramon|Food Service|3
Sonoma|Food Service|10
Daly City|Food Service|13
Greenbrae|Food Service|6
Benicia|Food Service|8
San Bruno|Food Service|4
Colma|Food Service|1
Rodeo|Food Service|2
Orinda|Food Service|5
Larkspur|Food Service|3
Hayward|Food Service|8
Fairfax|Food Service|1
San Anselmo|Food Service|3
Millbrae|Food Service|593
American Canyon|Food Service|4
San Lorenzo|Food Service|7
Burlingame|Food Service|4
Moraga|Food Service|2
Marin City|Food Service|1
Point Richmond|Food Service|1
Corte Madera|Food Service|4
Brisbane|Food Service|4
Napa Valley|Food Service|2
Pacifica|Food Service|1
Belvedere Tiburon|Food Service|1
Point Reyes Station|Food Service|1
El Sobrante|Food Service|1
Oakland|Janitor|5
Richmond|Janitor|4
San Francisco|Janitor|27
Berkeley|Janitor|4
San Francisco Bay Area|Janitor|2
Martinez|Janitor|1
Alameda|Janitor|3
Larkspur|Janitor|1
San Leandro|Janitor|2
Petaluma|Janitor|3
Greenbrae|Janitor|1
Albany|Janitor|2
Emeryville|Janitor|3
San Rafael|Janitor|2
Concord|Janitor|4
Lafayette|Janitor|1
Pleasant Hill|Janitor|1
Walnut Creek|Janitor|4
Pinole|Janitor|1
Colma|Janitor|1
San Ramon|Janitor|1
Novato|Janitor|1
Berkeley|Plumber|1
San Rafael|Plumber|2
Concord|Plumber|6
Walnut Creek|Plumber|2
San Francisco|Plumber|10
San Francisco Bay Area|Plumber|3
Mill Valley|Plumber|1
Danville|Plumber|1
San Ramon|Plumber|2
Oakland|Plumber|2
San Bruno|Plumber|1
San Leandro|Plumber|1
Corte Madera|Plumber|3
Sonoma|Plumber|1
Benicia|Plumber|1
East Bay|Plumber|2
Oakland|Bartender|12
Berkeley|Bartender|17
Walnut Creek|Bartender|13
San Francisco|Bartender|84
Pleasant Hill|Bartender|3
Emeryville|Bartender|2
Alameda|Bartender|5
Concord|Bartender|6
San Rafael|Bartender|5
Vallejo|Bartender|4
Sausalito|Bartender|1
Pinole|Bartender|1
El Cerrito|Bartender|3
South San Francisco|Bartender|1
Corte Madera|Bartender|1
Larkspur|Bartender|4
Napa|Bartender|2
San Bruno|Bartender|5
Danville|Bartender|2
San Anselmo|Bartender|1
East Bay|Bartender|1
Millbrae|Bartender|2
Novato|Bartender|3
Alamo|Bartender|1
Petaluma|Bartender|4
San Leandro|Bartender|4
San Ramon|Bartender|2
Sonoma|Bartender|5
Colma|Bartender|1
Castro Valley|Bartender|1
Daly City|Bartender|1
San Francisco Bay Area|Bartender|1
San Leandro|Press Operator|1
Richmond|Press Operator|1
San Francisco|Press Operator|13
Concord|Press Operator|3
Berkeley|Press Operator|1
Petaluma|Press Operator|1
Albany|Helper|1
Concord|Helper|6
Oakland|Helper|13
East Bay|Helper|3
El Sobrante|Helper|1
San Ramon|Helper|5
El Cerrito|Helper|8
San Rafael|Helper|13
South San Francisco|Helper|2
San Francisco|Helper|58
